Docno,DocStart,DocEnd
1,0,1709
2,1710,3421
3,3422,5134
4,5135,6852
5,6853,8957
6,8958,11069
7,11070,13164
8,13165,15248
9,15249,16961
10,16962,18676
11,18677,20387
12,20388,22102
13,22103,23819
14,23820,25534
15,25535,27242
16,27243,28961
17,28962,30683
18,30684,32323
19,32324,34421
20,34422,36131
21,36132,37844
22,37845,39563
23,39564,41286
24,41287,42993
25,42994,45095
26,45096,47293
27,47294,49000
28,49001,50703
29,50704,52428
30,52429,54538
31,54539,56249
32,56250,57969
33,57970,59679
34,59680,61777
35,61778,63874
36,63875,65973
37,65974,68071
38,68072,70167
39,70168,71891
40,71892,73601
41,73602,75311
42,75312,77415
43,77416,79136
44,79137,80851
45,80852,82563
46,82564,84281
47,84282,85995
48,85996,87713
49,87714,89817
50,89818,91921
51,91922,93642
52,93643,95355
53,95356,97065
54,97066,98779
55,98780,100498
56,100499,102593
57,102594,104298
58,104299,106401
59,106402,108117
60,108118,109831
61,109832,111551
62,111552,113255
63,113256,114974
64,114975,116680
65,116681,118385
66,118386,120100
67,120101,121813
68,121814,123522
69,123523,125244
70,125245,126965
71,126966,128669
72,128670,130382
73,130383,132094
74,132095,133816
75,133817,135530
76,135531,137241
77,137242,139340
78,139341,141436
79,141437,143142
80,143143,145238
81,145239,147344
82,147345,149444
83,149445,151543
84,151544,153646
85,153647,155742
86,155743,157843
87,157844,159936
88,159937,162132
89,162133,164227
90,164228,166325
91,166326,168037
92,168038,169760
93,169761,171475
94,171476,173185
95,173186,174893
96,174894,176607
97,176608,178314
98,178315,180026
99,180027,181732
100,181733,183441
101,183442,185157
102,185158,186868
103,186869,188581
104,188582,190313
105,190314,192032
106,192033,193752
107,193753,195458
108,195459,197168
109,197169,199270
110,199271,201370
111,201371,203082
112,203083,204796
113,204797,206514
114,206515,208618
115,208619,210721
116,210722,212820
117,212821,214530
118,214531,216724
119,216725,218440
120,218441,220146
121,220147,221859
122,221860,223586
123,223587,225303
124,225304,226865
125,226866,228529
126,228530,230251
127,230252,231957
128,231958,234248
129,234249,235966
130,235967,237679
131,237680,239394
132,239395,241104
133,241105,242823
134,242824,244538
135,244539,246253
136,246254,247963
137,247964,249669
138,249670,251285
139,251286,253000
140,253001,254708
